MM/DD/YY        HH:MM   RH-PER  DIR-DEG WIND-KTS
01/01/16        00:52   62.28   250     12
01/01/16        06:52   70.46   240     12
01/01/16        12:52   73.77   270     8
01/01/16        18:52   68.33   260     10
01/02/16        00:52   71.69   240     12
01/02/16        06:52   65.84   300     9
01/02/16        12:52   80.55   240     6
01/02/16        18:52   63.24   230     10
01/03/16        00:52   65.47   250     17
01/03/16        06:52   70.81   280     8
01/03/16        12:52   71.26   350     10
01/03/16        18:52   65.47   340     9
01/04/16        00:52   68.33   300     6
01/04/16        06:52   68.33   310     8
01/04/16        12:52   70.81   340     12
01/04/16        18:52   62.97   10      8
01/05/16        00:52   68.2    350     3
01/05/16        06:52   83.33   0       0
01/05/16        12:52   77.17   200     7
01/05/16        18:52   65.72   220     14
01/06/16        00:52   71.26   170     9
01/06/16        06:52   77.82   180     4
01/06/16        12:52   74.29   210     6
01/06/16        18:52   60.81   210     8
01/07/16        00:52   69.04   180     3
01/07/16        06:52   75.2    180     3
01/07/16        12:52   69.4    170     4
01/07/16        18:52   61.94   180     4
01/08/16        00:52   75.58   140     10
01/08/16        06:52   81.8    100     7
01/08/16        12:52   95.82   130     7
01/08/16        18:52   95.86   160     6
01/09/16        00:52   100     0       0
01/09/16        12:52   92.4    270     4
01/09/16        18:52   85.37   340     4
01/10/16        00:52   96.41   330     15
01/10/16        06:52   84.47   330     13
01/10/16        12:52   76.68   310     16
01/10/16        18:52   63.31   300     15
01/11/16        00:52   56.79   270     10
01/11/16        06:52   64.93   280     10
01/11/16        12:52   71.17   270     8
01/11/16        18:52   57.1    240     3
01/12/16        00:52   83.78   260     5
01/12/16        06:52   80.35   270     11
01/12/16        12:52   65.77   300     16
01/12/16        18:52   60.26   270     17
01/13/16        00:52   56.79   280     8
01/13/16        06:52   62.41   280     8
01/13/16        12:52   71.41   260     4
01/13/16        18:52   79.52   230     7
01/14/16        00:52   73.56   230     5
01/14/16        06:52   80.22   0       0
01/14/16        12:52   84.41   200     3
01/14/16        18:52   78.62   160     4
01/15/16        00:52   92.23   0       0
01/15/16        06:52   92.36   170     5
01/15/16        12:52   92.4    200     6
01/15/16        18:52   84.69   300     6
01/16/16        00:52   81.27   320     16
01/16/16        06:52   68.68   320     14
01/16/16        12:52   77.54   280     6
01/16/16        18:52   54.95   260     13
01/17/16        00:52   58.78   270     9
01/17/16        06:52   59.19   290     14
01/17/16        12:52   57.91   280     13
01/17/16        18:52   50.73   280     15
01/18/16        00:52   50.54   300     13
